Current (A),CosPhi (Units),Energy Consumption (kWh),Reactive Energy (VARh),Voltage (V)
8.95201,0.98903,0.71702,1127.88533,221.28025
32.19608,0.92606,3.05374,4852.03987,221.78542
11.05407,0.97129,1.18688,1653.84119,221.49346
27.23464,0.9279,2.82084,4129.79695,220.98495
18.94128,0.96626,1.69989,2486.75822,222.49484
42.13259,0.93484,4.5571,5610.87606,220.41684
2.95893,0.99627,0.20055,369.48799,219.87507
25.25785,0.97471,2.96761,3001.71413,219.9997
2.868,0.99551,0.29805,369.72939,220.5848
1.863,0.99446,0.4001,304.11384,220.81585
0.77155,0.99762,0.11859,118.99129,219.6842
9.74281,0.98883,1.08711,1211.17757,221.43689
1.76386,0.99369,0.2047,304.73378,220.5357
2.91056,0.99594,0.29481,364.61072,218.8505
6.05677,0.99072,0.85884,763.96037,219.75348
10.11677,0.98484,0.8609,1434.41309,221.01657
19.38269,0.97254,1.74879,2750.70721,222.7821
33.08093,0.91443,3.34404,4926.81745,222.43932
18.93674,0.94013,2.26094,3093.91057,223.44235
11.91749,0.97448,1.51146,1754.9747,223.12186
21.90865,0.95163,2.16329,3152.86582,222.58392
29.70076,0.94022,2.73044,4300.38643,222.27975
41.47564,0.88678,4.36882,6286.44748,221.48623
36.18056,0.91163,3.38419,5301.05107,221.68134
6.34758,0.98233,0.85649,979.61392,221.87506
24.11671,0.93944,2.07385,3386.72274,221.36388
9.30676,0.97875,1.3225,1372.05088,222.93224
27.74882,0.91549,2.68348,4369.24986,222.12875
17.95518,0.95056,1.75025,2902.43497,221.52372
30.18422,0.94575,3.90488,4076.23467,221.03934
39.2047,0.92603,4.08809,5238.26638,222.96972
19.47282,0.95795,2.58922,2705.60477,221.59834
27.5252,0.95846,2.73298,3839.57429,222.93462
21.9638,0.95877,2.96338,2985.08536,222.89792
28.40698,0.94396,3.05854,3955.45491,222.41599
30.43709,0.93089,3.42845,4451.48874,222.56283
30.10973,0.91285,3.28526,4638.1529,223.48156
27.40571,0.9184,3.00757,4541.2712,222.21843
19.24395,0.94982,2.26648,3091.04676,222.06427
23.40677,0.94399,2.20983,3434.78232,223.01504
33.49459,0.91152,3.46919,5124.79429,221.8765
38.30287,0.9041,3.95009,5513.28118,221.91903
41.80098,0.90617,4.22991,6025.43362,221.74431
32.12097,0.91709,3.48392,4704.96449,222.75522
45.33908,0.90295,3.99175,6636.45929,222.89709
34.76737,0.91573,3.57026,5141.77967,222.9211
39.40288,0.90169,4.23083,5789.77174,221.8462
41.58758,0.89556,3.94022,6080.25225,221.51532
40.36688,0.90569,3.57051,6195.98468,221.29855
37.4958,0.89956,3.94905,5653.53717,221.48567
31.4278,0.90648,3.11031,4911.01707,222.36053
14.31194,0.96344,1.46783,2145.02518,223.17361
8.38863,0.98153,0.86329,1226.87373,223.61106
17.13991,0.9625,1.65485,2422.75014,221.77285
12.79809,0.95818,1.5162,2055.1439,221.98837
12.18302,0.97037,1.14035,1708.09471,222.27876
34.83196,0.90919,3.10519,5198.00834,222.08115
47.90915,0.90274,4.08152,6777.98264,222.66678
28.2512,0.93405,2.68385,4128.37055,222.78518
9.66792,0.98537,1.09641,1289.48828,222.74948
6.39327,0.98131,0.90267,956.39061,222.64062
10.75602,0.97761,0.99833,1478.92306,222.04819
19.37207,0.95366,1.83318,2991.49323,222.85017
25.82226,0.92278,2.3574,4284.86033,222.20764
25.2602,0.93268,2.54742,3801.13215,221.06843
17.78047,0.9392,1.61022,2630.92041,222.56538
27.55102,0.92736,2.54431,4291.99244,221.43556
14.16297,0.95571,1.55854,2320.29987,222.09158
27.91485,0.92924,2.35141,4131.70065,222.54095
7.80236,0.97126,1.09041,1263.94981,222.50801
7.79596,0.98482,0.91055,976.57998,223.2492
5.86769,0.98486,0.7148,863.46449,223.68756
15.27184,0.9485,1.69834,2455.11355,221.60882
21.01391,0.94816,1.9827,3022.70454,221.8506
21.97652,0.93259,2.11371,3458.48288,221.84804
