Current (A),CosPhi (Units),Energy Consumption (kWh),Reactive Energy (VARh),Voltage (V)
33.20326,0.86909,3.01423,5585.06327,223.1752
31.10771,0.87908,2.84558,5439.93003,222.90616
34.13855,0.89267,2.49437,5840.56343,222.05871
12.79798,0.95603,1.39139,2088.19308,222.24937
21.16186,0.92102,2.13504,3602.34334,222.49415
21.46462,0.9252,1.84835,3568.82943,222.31195
15.01778,0.94926,1.38413,2487.40141,222.96304
27.39576,0.92879,2.78561,4065.71751,221.68963
149.8527,0.71291,16.03707,20679.47728,220.92809
187.71866,0.79521,22.6003,22596.36776,219.32516
204.90412,0.82664,25.74055,23386.49742,218.45302
210.2633,0.8369,25.55459,23542.97636,217.98283
195.49868,0.81406,23.39421,22596.26894,218.38206
198.42138,0.8204,23.44355,23094.92525,219.93102
177.7407,0.77293,21.14484,22007.57779,220.95555
162.75068,0.75514,18.80469,20923.60984,220.46508
182.37345,0.78421,21.85227,22324.91351,220.65935
60.96315,0.92724,6.99636,7440.24439,220.84799
0.0,1.0,0.01594,0.0,221.78612
0.0,1.0,0.01594,0.0,220.47109
0.0,1.0,0.01594,0.0,223.57056
0.02444,0.99744,0.01594,0.0,223.1195
0.0,1.0,0.01594,0.0,223.67335
0.0,1.0,0.01594,0.0,222.61597
0.0,1.0,0.01594,0.0,222.69706
0.0,1.0,0.01594,0.0,223.06274
0.01877,0.99728,0.01594,0.0,222.9143
0.0,1.0,0.01594,0.0,223.75208
0.0,1.0,0.01594,0.0,221.41509
0.0,1.0,0.01594,0.0,221.27323
0.0,1.0,0.01594,0.0,221.55026
5.18391,0.9953,0.4846,612.83613,222.66132
0.0,1.0,0.04594,0.0,221.18161
52.41403,0.96367,6.36085,6030.56876,220.12272
68.11472,0.95857,8.20593,7545.40472,220.66258
60.73528,0.94745,7.71927,7138.6322,221.40746
5.51456,0.99148,0.65882,706.14079,221.05202
0.0,1.0,0.03094,0.0,220.83879
28.11429,0.96692,3.12099,3604.24705,221.86707
20.35203,0.96235,2.22777,2799.20019,220.29999
11.63811,0.98066,1.46748,1401.55595,219.76309
35.49508,0.96509,4.37834,4121.5511,220.80819
4.80322,0.99275,0.72852,587.82429,221.70342
19.10344,0.97922,1.89749,2472.1867,220.97194
17.94519,0.95902,1.98838,2583.54113,222.49371
18.34754,0.96835,2.26719,2512.60944,222.61923
32.69103,0.94439,2.89012,4566.09102,223.32409
10.52017,0.98034,1.19786,1420.52738,222.18325
8.37561,0.98198,0.85984,1006.80923,222.20977
24.04229,0.95731,2.2633,3520.70791,221.56837
26.43566,0.9343,2.55552,4061.42181,221.42545
31.54848,0.93608,2.98084,4540.27266,222.22698
23.50536,0.95042,2.50976,3356.73486,222.38592
13.76726,0.96724,1.00523,2260.65333,223.00988
13.00168,0.97284,1.43609,1841.76307,222.34573
18.19741,0.96487,1.7638,2575.31179,221.62242
68.92488,0.89067,7.75339,9193.26047,220.76842
17.19982,0.97593,2.26676,2118.06024,219.91545
140.07882,0.90715,17.21383,15498.16911,219.36237
43.78784,0.96554,5.30706,4860.36251,218.85748
44.42003,0.96732,5.58655,5003.56465,220.30828
25.8736,0.97982,2.68274,3103.80779,220.2824
1.94558,0.99464,0.32152,310.64247,220.92895
7.02662,0.99433,0.86852,824.05677,220.56177
5.64582,0.991,0.6408,667.7096,219.89832
15.03724,0.97129,1.90125,2026.3905,220.59847
11.38278,0.97876,1.14248,1482.3245,220.55198
17.35355,0.96914,1.99562,2210.64622,222.43749
3.80771,0.99026,0.48651,526.84463,222.13451
9.78534,0.98605,1.01328,1257.74485,221.83505
19.22145,0.96598,2.02893,2641.62958,221.85097
17.08515,0.96187,1.66562,2822.43443,222.68114
21.12175,0.9585,1.799,2997.30317,223.93671
13.29585,0.9739,1.3455,2038.00484,224.00945
16.99806,0.96692,1.66114,2363.64125,223.61287
18.33071,0.94902,2.13608,2817.70529,223.33362
12.0639,0.97515,1.05416,1584.22064,221.5264
13.57887,0.97555,1.37032,1879.83077,221.35681
13.49426,0.97093,1.30081,1981.95185,221.18738
26.89586,0.93128,2.94174,4367.83807,222.46006
164.94457,0.76898,19.1307,20803.83381,220.62046
219.24931,0.83032,26.35021,24879.99811,219.90975
182.3937,0.85737,22.45511,20914.27004,220.13109
215.99626,0.8391,27.10006,24168.79197,220.90975
217.7989,0.8357,26.86487,24619.41707,221.42511
215.5977,0.83596,26.34966,23941.67314,219.33563
203.36026,0.81635,24.23647,23687.62077,220.57276
200.12479,0.80654,23.63427,23315.46151,219.68112
210.56264,0.82112,25.69541,23795.93084,219.41237
187.53784,0.80726,22.54955,22184.09783,219.89449
155.6069,0.76811,17.77572,19489.64102,220.08534
124.42976,0.81126,14.44642,16044.85755,222.06303
43.01073,0.8991,4.43062,6274.47077,222.92425
33.37205,0.91971,2.91413,4856.33014,221.81113
29.50869,0.93119,2.74003,4275.1503,221.85145
37.32784,0.90547,3.10842,6088.50901,223.2302
30.87743,0.90192,2.87776,5195.01828,223.40114
37.04767,0.90478,3.57966,5733.57608,222.50199
24.11278,0.93559,2.45952,3670.55939,222.76514
24.14113,0.95428,1.99959,3362.91789,223.50398
18.40822,0.96179,1.53781,2845.09264,224.04928
16.15995,0.95257,1.96431,2527.3345,224.01034
18.18858,0.95342,1.98645,2636.69745,223.70913
29.66595,0.94781,2.83034,3856.68588,222.25824
123.26777,0.79296,15.47328,16275.76958,220.58055
215.16503,0.82989,26.43908,24512.93998,219.93905
218.47747,0.83788,26.67539,24732.02791,220.4774
208.45879,0.84405,25.22429,23704.64515,221.12051
217.11655,0.84086,27.0483,24175.41484,219.98649
208.27031,0.82758,25.45956,23596.68666,220.566
206.97881,0.83132,25.59999,23609.1457,221.19637
164.50512,0.80683,18.90136,19907.33145,221.05516
178.54774,0.78529,21.33498,21635.63196,220.72019
168.51473,0.78123,19.55478,21264.10863,221.42929
149.06042,0.76472,16.9728,18883.61355,222.03165
85.35086,0.87078,9.67567,10889.56518,221.5887
42.28612,0.90746,4.33296,6480.89664,222.51767
25.83515,0.92634,2.55248,3956.43796,222.28712
16.47542,0.95398,1.5711,2529.91308,223.50284
28.26389,0.91931,3.16382,4419.77272,223.4866
42.94773,0.87303,4.42723,6698.51975,223.11106
23.77587,0.93761,2.51249,3743.98733,223.28506
25.63493,0.9399,2.41317,3697.25547,222.56321
14.24241,0.97229,1.33853,1872.73157,223.17897
28.17073,0.92879,2.69955,4314.6068,222.16982
34.10576,0.9048,3.45009,5231.05747,221.22018
19.11627,0.95881,2.14748,2577.05089,221.31383
14.69566,0.97285,1.76282,2388.83963,221.95749
74.67342,0.87628,7.71036,10067.31889,221.70742
80.6498,0.86314,8.60253,11130.65851,222.21379
83.50169,0.85928,9.06836,11212.74921,223.25057
86.4676,0.84678,9.81745,11804.02443,222.33845
88.28852,0.84743,9.71757,11601.13743,220.79917
91.32999,0.85067,10.52532,11943.68238,221.07111
27.12983,0.91171,3.10906,4258.69642,221.2722
13.34428,0.97418,1.4783,1926.46943,221.50522
20.39333,0.96008,1.91405,2763.68767,223.19099
29.53363,0.91998,3.17209,4688.56061,222.68129
24.53027,0.94597,2.4168,3530.51188,223.23419
38.94066,0.90193,3.54016,5783.11146,222.4034
43.84958,0.87322,4.56865,6682.53827,222.9988
35.92091,0.89462,3.90998,5658.60096,223.19426
38.28478,0.90702,3.4397,5890.06036,223.94371
53.24013,0.87112,4.79587,7730.6206,222.80509
14.607,0.96785,1.71852,2046.74445,223.59741
12.37165,0.96835,1.43388,1742.47154,222.64728
7.77837,0.9772,1.34747,1209.5646,222.47797
27.50271,0.92227,2.41456,4363.25337,223.13229
40.6027,0.895,4.14416,6113.16422,223.48121
42.69456,0.88493,4.42847,6507.86705,221.90203
27.85941,0.94294,2.50213,3810.14607,221.58431
25.17061,0.93482,2.83557,3764.40166,223.3677
39.11419,0.90537,3.72326,5660.0164,222.63978
27.09169,0.9341,2.83598,3863.65345,222.16654
11.44973,0.97898,1.70902,1536.06782,223.05402
33.60126,0.90948,2.88502,5430.67477,222.59531
17.01833,0.96324,1.81052,2342.60147,222.48962
19.64602,0.94753,1.57365,3088.14453,221.83181
32.86188,0.90594,3.34645,4892.67102,221.31305
15.6142,0.97034,1.72161,2165.3572,221.84285
18.62993,0.95689,1.98422,2877.98272,222.69637
23.0278,0.95061,2.41539,3209.94481,223.06859
7.2671,0.98628,1.00471,1051.65385,223.77865
12.28246,0.97382,1.33992,1765.32179,223.07481
27.97264,0.92971,2.60499,4193.25641,222.33535
34.46119,0.8994,3.35475,5351.75498,223.37561
44.33164,0.90036,4.65663,6329.37187,221.87299
31.72606,0.92222,3.40752,4702.07319,222.84947
17.63587,0.96145,1.71181,2507.44683,222.42539
20.15409,0.95255,1.94652,3104.5155,222.66197
39.57186,0.89553,3.29677,6463.45587,223.62531
23.70417,0.9307,2.36045,3807.07376,221.89939
15.10181,0.97482,1.67334,1995.15178,221.84506
16.49038,0.96041,1.65776,2525.56794,221.6668
14.60257,0.95944,1.62104,2094.68882,222.69385
27.50059,0.95137,2.4202,3681.93237,222.26023
160.11306,0.76663,18.19163,20559.96484,221.67241
193.22096,0.80287,23.72502,22882.88169,220.22954
209.6382,0.85666,25.41254,23055.73148,218.83025
218.99298,0.86563,27.38007,23745.18307,219.07635
200.01411,0.81175,24.89692,23025.09636,219.35857
221.73429,0.84941,26.91019,24625.19416,219.2896
195.47101,0.82202,23.63278,23158.91136,221.42806
186.1689,0.80652,22.32105,22006.43118,219.87998
194.29474,0.84451,23.81584,21720.41643,219.38259
152.4104,0.83827,17.91938,18206.44025,219.22174
170.53232,0.77088,19.78987,21049.62363,220.23053
138.50438,0.77141,14.77465,18662.17762,222.09448
118.28337,0.75827,12.47655,16725.69575,223.63511
107.74481,0.77671,11.11762,15286.03783,223.58961
104.05118,0.77771,11.0246,14998.03163,223.6269
96.86834,0.78246,10.7463,13829.20791,222.05822
99.63113,0.77652,10.69616,14097.22218,222.37519
107.53356,0.7708,11.07379,15339.77561,222.39928
104.40207,0.77105,10.84381,15045.58095,223.02122
110.69869,0.76223,11.16687,16010.12405,222.91046
106.3844,0.75439,11.11959,15509.95356,223.60398
97.655,0.78233,10.61329,13739.52411,221.37468
101.06966,0.77147,10.7447,14025.90641,221.00006
101.72229,0.77949,10.69921,14469.57401,221.92066
168.18598,0.75635,19.08598,21607.01579,221.41146
198.78706,0.84525,24.19462,22362.54376,219.65468
221.05004,0.84819,27.19275,24491.93302,219.84018
187.66102,0.87935,23.30487,20482.49345,219.04642
165.69341,0.88196,20.21234,18607.85815,219.86247
208.10509,0.85839,25.55319,23184.42783,219.40992
147.87261,0.82595,17.96804,18005.85738,221.1651
183.55984,0.78003,21.70713,22525.14512,221.1123
213.93424,0.83667,25.97109,23979.09485,219.45577
181.59128,0.79583,21.47344,21466.57864,220.35557
175.65977,0.78054,20.68137,21422.45826,220.88076
161.75762,0.75133,18.29124,21204.30301,222.22312
99.83709,0.78251,10.75252,14001.56393,222.24029
105.97646,0.76066,11.40383,15500.92876,223.74082
107.60632,0.75637,11.2152,15724.14775,223.68616
98.81713,0.78471,10.27741,14142.01195,222.84939
100.46838,0.77129,10.70052,15062.3524,223.22455
106.34345,0.76885,11.03038,15000.77472,222.812
95.72854,0.78041,10.18374,13720.07537,222.71986
99.50836,0.77018,10.37197,14445.95019,223.36661
99.51788,0.78418,10.46606,14191.66242,223.35034
89.78612,0.78109,10.04635,13255.28575,223.47342
97.9907,0.78759,10.23522,13888.70082,223.04757
94.75077,0.77916,10.56291,13670.88021,221.58239
166.66716,0.75911,18.99024,21003.8683,220.39734
220.80154,0.84404,27.42655,24606.6561,220.08457
188.5418,0.87309,23.16235,20762.56648,219.42295
216.39791,0.84249,26.25339,24170.30166,219.90374
208.01565,0.86874,25.5078,23126.99231,219.35767
163.15852,0.8723,20.58991,18340.77094,219.60997
175.6366,0.83618,21.66082,20495.30936,221.24318
207.9314,0.83622,24.99266,23455.09762,220.27448
213.42976,0.83952,25.87749,23869.18874,219.88463
187.51095,0.80017,22.45657,22023.50453,220.7854
180.66647,0.77672,20.4467,21798.92468,219.7838
149.36385,0.75401,16.22566,19740.76338,221.97412
106.24128,0.76431,11.777,15153.66006,223.55419
112.97747,0.74991,11.91809,16088.06174,221.82996
121.17611,0.74197,13.32427,17100.19818,223.15265
114.76726,0.75999,12.06043,16237.6443,223.34774
123.61851,0.72652,13.36739,17646.28859,222.22696
135.56846,0.71455,13.88607,19142.50978,223.37965
129.78515,0.72706,13.88783,18218.40567,221.47992
133.62485,0.71902,13.88487,18962.22051,221.92736
131.97547,0.71538,13.74273,18718.80668,222.1479
131.48671,0.71038,13.74123,18932.81423,221.90089
123.62453,0.72095,13.63998,17545.33057,221.10235
131.44557,0.71797,13.83852,18753.35899,221.43642
167.70646,0.75111,19.41619,21265.74914,220.47916
140.79812,0.85765,17.25968,16721.60305,219.45691
158.50039,0.90149,19.87929,17270.82601,218.91253
53.06215,0.96706,6.85561,5886.48332,221.02687
181.09997,0.87797,22.09581,20258.85746,220.79887
86.4638,0.92425,10.97783,9989.88598,220.2367
106.34174,0.91468,12.94507,12094.39514,219.79866
196.77621,0.8031,23.86409,22975.3085,220.10351
179.90211,0.88383,22.22599,19859.79309,220.1188
134.32873,0.85891,15.8107,15867.00425,220.94052
176.67712,0.77044,20.4425,21812.98597,220.98551
152.2928,0.75268,17.91303,19572.31361,221.41572
122.41988,0.74533,13.41793,17155.79036,222.07954
111.34253,0.75004,12.71836,16147.46143,222.18568
125.51016,0.72756,13.13929,18327.73033,223.28635
118.42603,0.74033,12.66347,17157.57883,222.62658
110.4952,0.76747,11.68408,15699.8712,223.2942
122.68487,0.74449,12.67015,17192.00515,222.66683
118.86035,0.75902,11.87973,16800.90119,221.49132
117.95138,0.75425,12.43712,16277.80925,221.8203
120.00689,0.73981,12.66362,17217.62598,222.80495
110.9602,0.7395,11.77277,16572.59091,223.96669
112.16272,0.7499,12.2422,16120.8311,223.85888
112.26131,0.76105,11.95861,15970.78765,222.85848
171.69205,0.75694,19.83465,21710.11889,220.90577
208.25396,0.8174,25.17782,24024.65801,220.6302
160.84449,0.89356,20.16605,17712.64484,220.46301
128.43131,0.92613,15.95068,13914.37096,219.59166
219.51206,0.86591,27.14534,23902.09521,219.46202
212.33952,0.84309,26.68135,23786.92799,220.65984
204.99449,0.847,25.32167,23221.39971,221.29183
183.88823,0.78169,21.19531,22283.174,221.11598
174.6134,0.78813,21.33766,21211.25951,220.20361
181.37991,0.76478,21.09595,22645.41484,220.94221
185.52543,0.7944,21.4237,22393.56295,221.85004
145.995,0.75478,15.85412,19204.45491,221.32571
116.3435,0.75424,12.15249,16678.14088,223.9372
101.0686,0.77753,10.64981,14538.48667,221.99941
109.7305,0.76401,11.03234,15908.41996,222.6074
106.09348,0.75666,11.356,15559.20373,223.39911
100.43005,0.78695,10.6538,14305.52415,223.80971
103.92457,0.75589,10.74912,15294.49211,223.63185
100.18619,0.79055,10.60133,14006.53994,221.57867
106.17573,0.78111,10.93402,14927.14935,222.35959
99.8362,0.77625,10.84547,14202.23453,223.69459
102.2387,0.77008,11.26057,14703.89732,222.91324
107.33143,0.7771,11.54334,14988.53492,222.17786
108.254,0.76236,12.25185,15332.41301,221.90608
186.59987,0.7827,22.1805,22835.54083,222.10239
191.27657,0.79193,23.35102,22998.29041,222.3917
194.54975,0.80128,23.39798,23347.71526,221.80398
189.33322,0.78218,21.98948,22999.49748,221.96171
150.73111,0.75473,17.67949,19992.24219,222.77515
155.00935,0.73396,17.25843,20509.26638,221.51932
130.10878,0.69823,13.4617,18711.78968,222.79671
127.80996,0.7143,13.64664,18057.07165,221.29863
124.60717,0.72275,13.2797,17935.26037,223.09735
129.02823,0.71805,13.88184,18415.59803,223.90791
128.24401,0.7304,13.22623,18210.83471,223.7936
128.25312,0.71499,13.78688,18381.75342,223.84064
132.33477,0.70762,13.55583,19465.30436,222.01693
125.56481,0.70638,13.55253,18215.79428,222.63626
131.94124,0.71176,13.97991,18736.13213,223.17043
130.17614,0.72785,13.60105,18286.34196,222.38538
124.60172,0.71319,13.65397,17985.24019,222.5252
127.71233,0.70336,13.64896,18902.42597,222.96195
128.14658,0.7126,13.41443,18441.93752,223.00034
126.78347,0.71813,13.69585,18086.84547,223.36993
128.81831,0.70829,13.64935,18702.14487,223.69953
129.61601,0.70262,13.74689,18860.25308,223.91226
120.23243,0.71191,13.60062,17391.43028,224.06029
128.0033,0.72011,13.60266,18313.33979,223.89128
126.91338,0.73514,13.65075,17977.23008,224.06136
128.56506,0.72146,13.60533,18547.01027,222.77511
131.01863,0.72376,13.6923,18320.98761,222.49917
122.17819,0.72536,13.50306,17452.54161,222.09321
126.99794,0.71101,13.51047,18378.1598,221.95605
124.68798,0.72005,13.41696,17794.11558,221.5136
131.30985,0.70886,13.45693,19179.15795,221.84094
122.37632,0.73436,12.99526,17181.15328,221.72609
126.13516,0.70982,13.27098,18383.6186,221.55331
122.49653,0.71565,12.66363,17912.12481,221.15587
126.39294,0.71957,13.22212,18285.77684,221.06576
120.46719,0.70896,13.37085,17595.80412,222.48973
127.7875,0.72649,13.32105,18017.17002,221.92247
124.66085,0.72413,13.36328,17704.24531,222.18432
130.25841,0.71709,13.97748,18456.19628,222.8434
130.18418,0.71044,14.2553,19154.97454,223.27877
120.16639,0.72718,13.31668,17403.11056,223.25841
133.21835,0.70939,13.78699,18721.54976,222.27726
125.77742,0.71649,13.54771,18398.12983,223.17809
126.10401,0.71219,13.93276,17894.60731,222.80833
130.6659,0.71113,13.98402,18360.33498,221.73305
128.98885,0.71746,13.83533,18267.69431,221.41822
129.92401,0.7298,14.0683,18140.28701,221.14928
133.37967,0.70558,14.30535,18642.47094,222.6153
176.78647,0.77606,20.81682,21670.21741,220.43186
106.37167,0.89893,12.72471,12536.32364,219.2354
44.10076,0.90236,4.80938,6144.03538,219.58041
42.75403,0.92218,5.08786,5679.1689,218.75344
46.67022,0.95943,5.40336,5543.09346,219.91744
120.71758,0.88408,14.68609,13865.41166,219.23748
204.60903,0.82663,24.89984,23686.92995,221.46141
193.83675,0.81258,23.58346,22546.30029,220.27298
134.61037,0.88398,16.75339,15477.31598,220.71547
167.46419,0.82834,20.25684,20140.1844,220.61297
185.63576,0.79944,21.89847,22291.1073,220.91758
163.07625,0.75542,19.22922,20980.14582,222.95838
137.36392,0.73665,15.42656,18897.07138,223.18521
125.30114,0.72358,13.60473,17896.80174,223.69968
125.42796,0.73251,14.02124,17358.0136,221.80846
121.55163,0.73444,13.4143,17314.24429,222.54206
130.98848,0.71309,13.55652,18846.85033,223.4574
125.17857,0.71937,13.69809,17599.81458,221.33716
125.80894,0.72891,12.80883,17746.13833,222.50009
128.18087,0.70385,13.46204,18499.38959,222.56794
127.59864,0.71614,13.602,18538.89054,222.78005
124.64997,0.72523,12.84824,17931.61753,223.30063
122.46943,0.7431,12.85462,17162.61521,222.60307
126.85523,0.7262,13.04158,17765.27979,221.4208
186.19595,0.78034,22.03637,22552.18145,220.10817
49.47266,0.95214,5.65281,5878.50088,219.27442
33.35564,0.95315,3.87473,4178.98668,219.18346
84.72775,0.9297,10.47021,9691.59297,219.81487
70.32843,0.93807,7.80048,8375.66651,220.26148
103.21111,0.91784,12.67916,11768.84646,218.87725
157.33698,0.85171,18.9091,18605.76787,220.30737
152.82619,0.86396,18.80261,17673.11631,220.38727
121.49624,0.88012,14.54551,14561.61681,220.11745
188.26555,0.82456,23.11598,21740.79792,219.45366
189.58986,0.78828,22.36568,22789.22589,221.07601
165.22256,0.74573,18.75747,21491.5795,222.11887
134.02262,0.71557,13.8864,18915.54905,222.29052
133.77497,0.70107,14.11972,19265.75834,223.38054
120.85446,0.72985,13.74527,16975.70968,221.45694
129.82588,0.7221,14.16237,18283.91154,223.10299
130.00334,0.71207,13.92816,18500.12469,222.61068
134.50696,0.71973,14.02502,18945.16382,222.24743
127.34172,0.71756,13.78919,18108.58744,223.26545
132.31172,0.71226,13.97813,19105.45559,223.79704
131.30518,0.73044,13.7853,18305.43952,223.75923
127.79129,0.71672,13.78854,18199.15441,223.57116
127.89972,0.72278,13.74377,18190.79897,223.18006
131.24414,0.73106,14.02422,18349.19989,221.48245
173.40325,0.7675,20.86865,21496.46428,220.25553
206.65616,0.8182,25.73386,23607.79632,219.23143
173.19203,0.85944,21.38074,19692.89831,220.09726
155.17345,0.89058,18.71049,17486.35461,219.33429
215.59014,0.86475,21.70384,23447.38942,218.69025
188.26359,0.85893,21.05313,21015.10045,219.46731
162.15423,0.86518,20.07606,18592.44735,220.76397
188.77413,0.79014,22.64621,22638.71607,221.28665
197.15422,0.80276,22.59807,23436.90508,219.98731
185.43974,0.78545,22.08309,22325.65919,221.14605
185.00173,0.78197,22.31548,22539.17392,221.5874
157.43415,0.75916,17.8661,20064.97342,222.20896
126.81796,0.75518,13.55946,17621.47417,222.91123
125.00931,0.75628,13.3174,17477.78216,223.30189
122.13889,0.75113,13.41969,17037.75854,223.79138
132.21912,0.75169,13.60211,18490.72187,222.69795
119.84414,0.7482,13.32447,16922.93743,222.71032
126.70895,0.75009,13.36991,17455.72909,222.38285
122.33447,0.74278,13.3223,17129.57503,222.44718
123.91899,0.73583,13.59529,17573.95842,223.14004
131.61542,0.7445,14.25645,18513.04485,223.95343
132.63578,0.73351,13.8828,18985.99799,223.66551
124.18053,0.74798,13.27593,17804.1773,223.27956
130.18848,0.73426,13.64724,18094.59204,222.99512
150.18746,0.78204,17.11634,19697.11482,223.32038
158.07621,0.7594,18.09998,20530.13064,223.02886
156.83943,0.75472,17.67708,20497.4107,221.85135
157.22443,0.7636,17.81645,20261.8639,221.57878
163.2747,0.74702,18.6637,21140.52541,223.81748
164.38279,0.76391,18.33949,20871.67713,221.59681
162.25453,0.73998,18.71272,21214.32639,221.43636
160.04466,0.77058,18.56609,20405.97124,221.71239
160.42628,0.75658,18.4752,20685.73711,222.04284
154.1427,0.76548,17.68069,19893.02887,223.42046
157.94853,0.75592,18.56759,20265.57813,221.5946
154.81074,0.72437,17.49153,20973.81467,222.70186
124.61566,0.73928,13.27678,17651.33038,223.17966
134.60086,0.69393,14.21054,19170.34688,221.96569
126.34832,0.74983,13.50648,17353.79471,221.46306
123.43128,0.73198,13.55625,17420.48549,221.96037
125.99067,0.71493,13.41559,17982.46952,222.78764
132.69133,0.71636,13.78537,18681.98297,223.2813
127.85002,0.71577,13.65045,18284.62479,223.64224
130.86964,0.71888,13.92981,18305.51091,222.50111
123.58769,0.7393,13.64766,17529.46986,222.69465
133.28341,0.71666,14.02266,18631.08145,222.39198
132.26039,0.68807,13.92308,19043.62011,222.48956
137.63747,0.71272,14.10952,19424.32187,221.99438
164.24731,0.78475,19.02632,20415.37471,220.66268
167.85583,0.76709,19.16833,21450.15289,222.05412
164.16211,0.76945,19.02614,20618.64579,220.90594
164.53002,0.75081,19.16808,21030.08169,221.43463
165.59701,0.75978,18.74432,21109.14408,222.68991
165.58865,0.75615,18.56373,21306.54484,222.61356
162.64905,0.75109,18.65017,20898.62561,222.18936
161.81681,0.75045,18.50962,21132.38925,222.09145
164.1228,0.74581,18.51425,21476.16323,223.21563
159.86794,0.74473,18.37079,20707.38589,221.70762
156.84845,0.75436,18.41561,20173.40923,221.71933
152.4229,0.76577,17.25277,19505.99042,221.78459
120.16485,0.74534,12.74831,16689.99661,222.17042
127.1507,0.72322,13.49741,17846.45993,221.85558
128.03008,0.71139,13.87502,18569.95371,223.27929
137.52173,0.70737,14.38809,19593.0186,222.62905
135.8595,0.70263,14.15705,19626.77009,222.77038
142.7218,0.70662,14.15159,20053.38659,221.6048
119.03861,0.73853,12.85171,16939.23702,222.13655
132.66732,0.72776,14.19859,18841.72604,222.61831
131.49262,0.70223,14.06382,18856.539,223.30948
139.60564,0.69635,14.44243,19880.03188,223.35087
134.30851,0.72755,13.45343,18899.33721,223.10124
139.82253,0.69713,14.4838,20192.64402,222.92033
187.39228,0.77673,22.2184,23320.41017,222.79916
196.90022,0.80671,23.89816,23342.51421,222.02912
199.5325,0.80319,23.67001,23508.09483,221.3101
177.62658,0.76983,20.00891,22044.98859,222.50349
155.2119,0.75067,17.67276,20366.77748,223.72621
157.09298,0.75233,17.66831,20570.47647,223.575
129.57889,0.69903,13.77585,18633.39668,223.56285
122.22261,0.70185,13.78309,18236.12086,223.56713
123.2984,0.72512,13.17168,17584.92481,223.315
127.54758,0.73729,13.3636,17693.88173,222.24601
124.85402,0.73584,13.74057,17585.30891,222.25675
122.49349,0.7276,13.17502,17692.95471,223.10234
122.55486,0.73369,13.12369,17713.88469,222.51898
128.30286,0.73039,13.35528,17906.28742,221.71737
131.94799,0.71353,13.82978,18613.89859,223.06922
122.23951,0.73005,13.26389,17512.7313,222.79605
127.5452,0.72997,13.31156,17939.86874,221.71125
124.62036,0.72908,13.31421,17644.14884,222.3056
123.64435,0.71492,13.12668,17634.97587,222.16945
122.73659,0.73188,13.21991,17882.55394,222.51933
128.95543,0.74449,12.98284,17833.53972,223.03296
129.08122,0.72526,13.55155,18317.95922,223.47279
129.01928,0.72647,13.9663,18252.53024,223.88527
131.94927,0.70588,13.87205,18647.45249,221.53931
126.33677,0.73681,13.45729,17639.32651,222.31193
124.37687,0.72494,13.64045,17533.3101,221.08525
128.52104,0.72346,13.68252,18413.53516,222.89415
120.06056,0.74539,12.94022,16874.94916,222.20833
128.08591,0.71073,13.91987,18284.81129,222.40636
131.33164,0.71412,13.40525,18952.15872,223.26916
128.93738,0.71536,13.96658,18378.79627,223.03929
124.51117,0.73309,13.26579,17872.32754,223.12669
125.98502,0.71193,13.41118,18492.36721,222.19332
125.077,0.72922,13.49998,18047.94245,222.36342
131.88881,0.73276,13.82348,18564.20961,222.75725
124.10164,0.72803,13.07988,17683.08486,222.24186
135.3342,0.71886,14.1092,19217.50676,221.83009
138.49889,0.70808,14.43374,19631.83385,222.12807
138.86672,0.74511,15.37191,18883.52035,223.29245
131.42469,0.72492,14.48225,18263.99641,222.47864
129.73358,0.72251,14.01927,18492.91029,222.36917
129.68815,0.74087,14.20125,17943.51164,222.85343
132.32448,0.7051,14.10698,18755.96505,222.86596
137.04552,0.69569,14.24961,19912.68604,223.60202
131.82406,0.73364,13.87773,18872.60264,222.69776
132.60427,0.71038,14.34155,18932.55642,221.64631
133.13029,0.72403,13.87514,18571.87385,221.69376
136.42405,0.72827,14.62271,18741.6514,222.16476
175.96657,0.77501,20.34145,21914.89855,220.84193
159.54582,0.88344,19.35748,17839.5637,219.35369
160.53113,0.88375,19.36591,17876.46963,218.72427
179.86053,0.88211,22.26313,19979.9694,220.85163
182.88423,0.88681,22.83162,19974.02233,219.6641
213.45927,0.86014,25.96479,23328.43647,219.23552
173.61001,0.86724,21.09327,19648.85776,220.80353
177.8967,0.84438,21.42138,20338.65501,219.6027
140.69152,0.88855,17.06321,15982.67644,220.24016
129.48933,0.85129,14.68087,15876.29254,220.8262
176.69191,0.76452,21.1806,22208.32528,221.65554
159.73135,0.74296,17.71601,21490.67434,222.06865
146.89147,0.7369,15.74677,19634.54967,221.92681
134.07579,0.7489,13.91977,18629.44661,222.86326
134.6715,0.73071,14.71491,18720.38673,222.76828
139.09327,0.70693,14.43895,19705.53624,223.40536
122.58089,0.73881,13.54414,17365.62843,222.97226
133.86855,0.71785,14.81312,18705.48055,223.05912
129.22382,0.73522,14.06104,17910.26492,221.49701
134.79606,0.72596,14.57648,19042.03458,223.0794
129.91077,0.73947,13.82206,18027.10568,223.07875
136.01195,0.73401,13.55233,19215.70185,222.24857
123.14655,0.74617,13.82738,17170.16428,222.28869
131.60728,0.74264,14.06227,18024.34609,221.54239
165.68871,0.7415,19.12222,21083.90185,220.63632
200.60378,0.8127,24.08231,23139.69866,219.49936
193.0243,0.85241,24.14051,21679.48362,220.09924
